frame_counter,NIS
0,6.95323e-310
1,0.728616
2,4.82339
3,8.52333
4,5.63279
5,1.72322
6,10.201
7,3.51327
8,5.5678
9,8.17526
10,2.58359
11,0.497712
12,1.79504
13,1.82171
14,1.72616
15,0.220016
16,0.744214
17,0.0718499
18,5.3964
19,0.756644
20,0.479575
21,2.54531
22,0.431432
23,0.378087
24,2.88983
25,1.71713
26,1.67136
27,1.45903
28,1.54524
29,2.62199
30,2.266
31,0.248701
32,1.26011
33,0.988764
34,2.22762
35,0.967191
36,0.780498
37,0.119909
38,2.46997
39,1.9403
40,1.86016
41,3.37619
42,3.33383
43,3.94843
44,2.74628
45,1.33789
46,0.404426
47,2.29363
48,1.4105
49,1.7016
50,0.418783
51,3.81361
52,0.223372
53,5.78687
54,0.471207
55,1.32327
56,4.77417
57,0.436486
58,1.15756
59,1.17073
60,2.32671
61,0.421358
62,2.22527
63,4.5988
64,1.1517
65,1.20976
66,0.370165
67,0.613907
68,1.07788
69,1.64369
70,1.39879
71,1.71073
72,3.07375
73,0.738058
74,0.683488
75,1.4262
76,0.16059
77,2.08657
78,0.0942396
79,2.11794
80,0.530092
81,0.687541
82,2.80319
83,0.923848
84,0.514867
85,2.72738
86,2.43725
87,0.0218692
88,2.80823
89,0.591381
90,0.581488
91,1.07548
92,1.66174
93,1.49481
94,0.757602
95,0.667891
96,1.41521
97,3.16079
98,1.49474
99,4.71403
100,0.472951
101,0.0930083
102,3.3535
103,2.36881
104,1.04
105,2.7173
106,0.502623
107,1.03381
108,3.19565
109,1.60703
110,3.12601
111,0.834518
112,1.00875
113,7.77648
114,5.98005
115,2.04126
116,3.03273
117,0.91915
118,4.19677
119,1.11462
120,0.702974
121,2.68026
122,2.45059
123,3.04546
124,0.218667
125,1.94266
126,2.33351
127,3.75466
128,5.19809
129,1.21743
130,0.915907
131,0.657806
132,1.40082
133,1.90432
134,2.86378
135,1.60241
136,0.109268
137,0.135894
138,8.30027
139,1.4199
140,3.66254
141,0.38165
142,3.34334
143,0.383871
144,1.79546
145,5.67655
146,2.70337
147,2.8255
148,0.0185517
149,2.48843
150,0.774471
151,7.66274
152,0.0895847
153,1.85538
154,3.81652
155,3.35505
156,4.91526
157,4.65425
158,2.2165
159,2.34886
160,6.46023
161,3.315
162,0.876591
163,0.324272
164,4.48709
165,4.0403
166,0.62413
167,2.6979
168,1.73194
169,0.0175828
170,1.12719
171,2.36436
172,0.00548433
173,4.42485
174,2.52188
175,11.1746
176,0.934216
177,0.646439
178,1.09267
179,0.0252947
180,1.37402
181,7.33689
182,1.8546
183,1.5465
184,1.6665
185,4.96317
186,4.74587
187,2.84629
188,0.0977196
189,0.650977
190,0.665415
191,0.467479
192,1.8234
193,4.0092
194,1.10678
195,5.90065
196,0.945875
197,1.35973
198,0.045716
199,0.520435
200,2.7237
201,1.44631
202,2.5925
203,0.136
204,0.671993
205,1.10249
206,0.100242
207,1.26612
208,0.289578
209,4.18856
210,1.93214
211,0.416864
212,1.00095
213,1.27473
214,0.130719
215,0.314799
216,3.10268
217,0.250834
218,1.25487
219,2.59887
220,0.413151
221,2.4837
222,6.62104
223,1.99457
224,2.00702
225,0.0709356
226,3.6299
227,1.57766
228,3.44936
229,2.04111
230,3.64662
231,3.78678
232,0.53274
233,1.08663
234,0.762812
235,1.23501
236,9.93477
237,0.0463022
238,5.70504
239,0.611528
240,3.82647
241,0.650181
242,3.58964
243,0.772101
244,3.04726
245,0.931371
246,1.02893
247,5.76627
248,5.56173
249,0.368394
